瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭弥绊扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),乞闭浅加(m/s),钦拌 老炼矫埃(hr)
184,力林,2018-01,4.9,7.3,67,58,3.8,73.8
184,力林,2018-02,5.5,8.7,60,86.6,3.7,122.2
184,力林,2018-03,11.4,15.3,72,118,3,190.9
184,力林,2018-04,15.9,19.6,68,112.5,2.9,205.6
184,力林,2018-05,19.1,23.1,76,98.8,2.9,159.9
184,力林,2018-06,22.3,25.6,79,211.1,2.7,187
184,力林,2018-07,27.3,30.1,81,48.7,2.7,233.7
184,力林,2018-08,28.8,32.1,78,376.5,3.3,245.7
184,力林,2018-09,23.9,26.8,75,187.7,2.8,122.8
184,力林,2018-10,17.9,20.9,64,347,3.2,174.8
184,力林,2018-11,13.9,17.2,65,28.6,2.6,161.4
184,力林,2018-12,8.7,11.2,68,96,3.6,61.9
184,力林,2019-01,6.4,8.9,64,24.2,3.3,97.5
184,力林,2019-02,7.4,10.2,63,37.9,3,110.9
184,力林,2019-03,10.8,14.4,63,55.5,3.5,187.6
184,力林,2019-04,14.7,18.4,68,46.4,3,196.1
184,力林,2019-05,20,23.8,56,42.8,3,262.3
184,力林,2019-06,21.5,25.1,80,145.8,2.6,194.3
184,力林,2019-07,25.2,27.9,85,510.1,2.6,175.1
184,力林,2019-08,27.7,30.6,77,242.3,2.8,176.5
184,力林,2019-09,24,26.6,84,610.6,2.9,120.9
184,力林,2019-10,19.7,22.6,69,188.6,2.9,160.7
184,力林,2019-11,14.6,18.3,65,27.5,3,146.9
184,力林,2019-12,9.7,12.5,64,48.2,3.3,81.1
184,力林,2020-01,8.9,11,66,116.7,3.5,47.5
184,力林,2020-02,9.1,12.3,66,29.8,3.3,115.7
184,力林,2020-03,11.5,15.1,63,81.6,3.2,196.3
184,力林,2020-04,13.2,16.9,56,82.3,3.3,261.7
184,力林,2020-05,18.8,23.4,74,20.6,2.9,210
184,力林,2020-06,22.4,26.1,83,221.5,2.7,164.4
184,力林,2020-07,24.2,27.3,85,184.7,2.9,114.4
